name,description,category_id,email,phone,website,address,city,country,postal_code,latitude,longitude,monday_hours,tuesday_hours,wednesday_hours,thursday_hours,friday_hours,saturday_hours,sunday_hours,is_active,is_public,is_featured,is_verified
Fiscal Heraklion,"Quality accounting firms services in Heraklion, Greece. Professional and reliable business serving the local community.",43,info@fiscalheraklion.com,+68-414-3201,https://www.fiscalheraklion.com,490 Main Street,Heraklion,Greece,80258,54.88149,4.88903,9:00-17:00,9:00-17:00,9:00-17:00,9:00-17:00,9:00-17:00,10:00-16:00,Closed,true,true,false,true
Fiscal Budapest,"Quality accounting firms services in Budapest, Hungary. Professional and reliable business serving the local community.",43,info@fiscalbudapest.com,+48-576-5812,https://www.fiscalbudapest.com,542 Church Street,Budapest,Hungary,96123,42.013003,23.862139,9:00-17:00,9:00-17:00,9:00-17:00,9:00-17:00,9:00-17:00,10:00-16:00,Closed,true,true,false,true
Waterford Financial,"Quality accounting firms services in Waterford, Ireland. Professional and reliable business serving the local community.",43,info@waterfordfinancial.com,+95-239-4147,https://www.waterfordfinancial.com,162 High Street,Waterford,Ireland,32050,38.711636,11.26918,9:00-17:00,9:00-17:00,9:00-17:00,9:00-17:00,9:00-17:00,10:00-16:00,Closed,true,true,false,true
Fiscal Milan,"Quality accounting firms services in Milan, Italy. Professional and reliable business serving the local community.",43,info@fiscalmilan.com,+75-576-1132,https://www.fiscalmilan.com,683 High Street,Milan,Italy,59916,40.194201,10.073677,9:00-17:00,9:00-17:00,9:00-17:00,9:00-17:00,9:00-17:00,10:00-16:00,Closed,true,true,false,false
Daugavpils Financial,"Quality accounting firms services in Daugavpils, Latvia. Professional and reliable business serving the local community.",43,info@daugavpilsfinancial.com,+68-453-4097,https://www.daugavpilsfinancial.com,167 Main Street,Daugavpils,Latvia,55625,67.399886,-1.058156,9:00-17:00,9:00-17:00,9:00-17:00,9:00-17:00,9:00-17:00,10:00-16:00,Closed,true,true,false,true
Accounting Plus Kaunas,"Quality accounting firms services in Kaunas, Lithuania. Professional and reliable business serving the local community.",43,info@accountingpluskaunas.com,+76-188-1448,https://www.accountingpluskaunas.com,104 Main Street,Kaunas,Lithuania,78619,42.099136,7.554784,9:00-17:00,9:00-17:00,9:00-17:00,9:00-17:00,9:00-17:00,10:00-16:00,Closed,true,true,false,false
Tax Experts Differdange,"Quality accounting firms services in Differdange, Luxembourg. Professional and reliable business serving the local community.",43,info@taxexpertsdifferdange.com,+81-583-3122,https://www.taxexpertsdifferdange.com,484 King Street,Differdange,Luxembourg,17204,49.296154,26.521358,9:00-17:00,9:00-17:00,9:00-17:00,9:00-17:00,9:00-17:00,10:00-16:00,Closed,true,true,false,true
St. Julian's Accounting,"Quality accounting firms services in St. Julian's, Malta. Professional and reliable business serving the local community.",43,info@st.julian'saccounting.com,+92-676-6106,https://www.st.julian'saccounting.com,448 Church Street,St. Julian's,Malta,89042,64.200528,16.601293,9:00-17:00,9:00-17:00,9:00-17:00,9:00-17:00,9:00-17:00,10:00-16:00,Closed,true,true,false,true
Accounting Plus Łódź,"Quality accounting firms services in Łódź, Poland. Professional and reliable business serving the local community.",43,info@accountingplusłódź.com,+43-261-4994,https://www.accountingplusłódź.com,594 Main Street,Łódź,Poland,83891,38.02643,-3.081351,9:00-17:00,9:00-17:00,9:00-17:00,9:00-17:00,9:00-17:00,10:00-16:00,Closed,true,true,false,false
Iași Financial,"Quality accounting firms services in Iași, Romania. Professional and reliable business serving the local community.",43,info@iașifinancial.com,+47-443-4344,https://www.iașifinancial.com,234 King Street,Iași,Romania,62174,56.795648,12.659817,9:00-17:00,9:00-17:00,9:00-17:00,9:00-17:00,9:00-17:00,10:00-16:00,Closed,true,true,false,true
Košice Financial,"Quality accounting firms services in Košice, Slovakia. Professional and reliable business serving the local community.",43,info@košicefinancial.com,+57-135-9346,https://www.košicefinancial.com,692 High Street,Košice,Slovakia,72677,37.849632,-7.218047,9:00-17:00,9:00-17:00,9:00-17:00,9:00-17:00,9:00-17:00,10:00-16:00,Closed,true,true,false,true
Velenje Accounting,"Quality accounting firms services in Velenje, Slovenia. Professional and reliable business serving the local community.",43,info@velenjeaccounting.com,+35-843-2183,https://www.velenjeaccounting.com,350 High Street,Velenje,Slovenia,79160,51.179976,8.816202,9:00-17:00,9:00-17:00,9:00-17:00,9:00-17:00,9:00-17:00,10:00-16:00,Closed,true,true,false,true
Tax Experts Uppsala,"Quality accounting firms services in Uppsala, Sweden. Professional and reliable business serving the local community.",43,info@taxexpertsuppsala.com,+32-365-6962,https://www.taxexpertsuppsala.com,161 High Street,Uppsala,Sweden,65116,35.018673,-0.474108,9:00-17:00,9:00-17:00,9:00-17:00,9:00-17:00,9:00-17:00,10:00-16:00,Closed,true,true,false,false
Gallery Graz,"Quality art galleries services in Graz, Austria. Professional and reliable business serving the local community.",23,info@gallerygraz.com,+68-979-3705,https://www.gallerygraz.com,736 High Street,Graz,Austria,23857,45.317406,20.875725,9:00-17:00,9:00-17:00,9:00-17:00,9:00-17:00,9:00-17:00,10:00-16:00,Closed,true,true,false,false
Art Space Plovdiv,"Quality art galleries services in Plovdiv, Bulgaria. Professional and reliable business serving the local community.",23,info@artspaceplovdiv.com,+59-283-9677,https://www.artspaceplovdiv.com,741 High Street,Plovdiv,Bulgaria,38185,43.159959,15.727092,9:00-17:00,9:00-17:00,9:00-17:00,9:00-17:00,9:00-17:00,10:00-16:00,Closed,true,true,false,false
Atelier Osijek,"Quality art galleries services in Osijek, Croatia. Professional and reliable business serving the local community.",23,info@atelierosijek.com,+91-748-7996,https://www.atelierosijek.com,25 High Street,Osijek,Croatia,54059,39.448381,16.109041,9:00-17:00,9:00-17:00,9:00-17:00,9:00-17:00,9:00-17:00,10:00-16:00,Closed,true,true,false,false
Gallery Paphos,"Quality art galleries services in Paphos, Cyprus. Professional and reliable business serving the local community.",23,info@gallerypaphos.com,+50-648-5433,https://www.gallerypaphos.com,498 King Street,Paphos,Cyprus,97583,63.563944,12.525835,9:00-17:00,9:00-17:00,9:00-17:00,9:00-17:00,9:00-17:00,10:00-16:00,Closed,true,true,false,false
Creative Plzen,"Quality art galleries services in Plzen, Czech Republic. Professional and reliable business serving the local community.",23,info@creativeplzen.com,+72-797-7110,https://www.creativeplzen.com,239 Main Street,Plzen,Czech Republic,66299,61.943887,-7.954975,9:00-17:00,9:00-17:00,9:00-17:00,9:00-17:00,9:00-17:00,10:00-16:00,Closed,true,true,false,false
Gallery Copenhagen,"Quality art galleries services in Copenhagen, Denmark. Professional and reliable business serving the local community.",23,info@gallerycopenhagen.com,+56-976-7698,https://www.gallerycopenhagen.com,667 High Street,Copenhagen,Denmark,42197,64.567121,-2.357916,9:00-17:00,9:00-17:00,9:00-17:00,9:00-17:00,9:00-17:00,10:00-16:00,Closed,true,true,false,false
Narva Arts,"Quality art galleries services in Narva, Estonia. Professional and reliable business serving the local community.",23,info@narvaarts.com,+93-990-2190,https://www.narvaarts.com,365 High Street,Narva,Estonia,17905,47.921045,14.04205,9:00-17:00,9:00-17:00,9:00-17:00,9:00-17:00,9:00-17:00,10:00-16:00,Closed,true,true,false,true
Creative Espoo,"Quality art galleries services in Espoo, Finland. Professional and reliable business serving the local community.",23,info@creativeespoo.com,+40-108-1231,https://www.creativeespoo.com,150 Main Street,Espoo,Finland,65739,63.840676,12.943799,9:00-17:00,9:00-17:00,9:00-17:00,9:00-17:00,9:00-17:00,10:00-16:00,Closed,true,true,false,false
Thessaloniki Arts,"Quality art galleries services in Thessaloniki, Greece. Professional and reliable business serving the local community.",23,info@thessalonikiarts.com,+86-213-8368,https://www.thessalonikiarts.com,597 King Street,Thessaloniki,Greece,35455,58.51458,14.966748,9:00-17:00,9:00-17:00,9:00-17:00,9:00-17:00,9:00-17:00,10:00-16:00,Closed,true,true,false,true
Szeged Arts,"Quality art galleries services in Szeged, Hungary. Professional and reliable business serving the local community.",23,info@szegedarts.com,+87-249-1815,https://www.szegedarts.com,888 King Street,Szeged,Hungary,18911,61.814885,6.443902,9:00-17:00,9:00-17:00,9:00-17:00,9:00-17:00,9:00-17:00,10:00-16:00,Closed,true,true,false,true
Gallery Cork,"Quality art galleries services in Cork, Ireland. Professional and reliable business serving the local community.",23,info@gallerycork.com,+85-539-4233,https://www.gallerycork.com,577 Church Street,Cork,Ireland,79130,59.043828,14.691687,9:00-17:00,9:00-17:00,9:00-17:00,9:00-17:00,9:00-17:00,10:00-16:00,Closed,true,true,false,true
Atelier Naples,"Quality art galleries services in Naples, Italy. Professional and reliable business serving the local community.",23,info@ateliernaples.com,+39-103-8063,https://www.ateliernaples.com,455 Queen Street,Naples,Italy,65778,65.981554,20.354983,9:00-17:00,9:00-17:00,9:00-17:00,9:00-17:00,9:00-17:00,10:00-16:00,Closed,true,true,false,true
Daugavpils Arts,"Quality art galleries services in Daugavpils, Latvia. Professional and reliable business serving the local community.",23,info@daugavpilsarts.com,+57-726-5998,https://www.daugavpilsarts.com,714 King Street,Daugavpils,Latvia,75757,35.242573,29.494244,9:00-17:00,9:00-17:00,9:00-17:00,9:00-17:00,9:00-17:00,10:00-16:00,Closed,true,true,false,true
Gallery Vilnius,"Quality art galleries services in Vilnius, Lithuania. Professional and reliable business serving the local community.",23,info@galleryvilnius.com,+86-995-3697,https://www.galleryvilnius.com,869 King Street,Vilnius,Lithuania,74310,38.22585,21.534458,9:00-17:00,9:00-17:00,9:00-17:00,9:00-17:00,9:00-17:00,10:00-16:00,Closed,true,true,false,false
Art Space Luxembourg City,"Quality art galleries services in Luxembourg City, Luxembourg. Professional and reliable business serving the local community.",23,info@artspaceluxembourgcity.com,+49-951-2749,https://www.artspaceluxembourgcity.com,954 Main Street,Luxembourg City,Luxembourg,72832,69.86756,-9.307291,9:00-17:00,9:00-17:00,9:00-17:00,9:00-17:00,9:00-17:00,10:00-16:00,Closed,true,true,false,false
Art Space Birkirkara,"Quality art galleries services in Birkirkara, Malta. Professional and reliable business serving the local community.",23,info@artspacebirkirkara.com,+67-973-8000,https://www.artspacebirkirkara.com,402 High Street,Birkirkara,Malta,61607,60.574026,14.632621,9:00-17:00,9:00-17:00,9:00-17:00,9:00-17:00,9:00-17:00,10:00-16:00,Closed,true,true,false,false
Atelier Wrocław,"Quality art galleries services in Wrocław, Poland. Professional and reliable business serving the local community.",23,info@atelierwrocław.com,+53-113-6989,https://www.atelierwrocław.com,529 Queen Street,Wrocław,Poland,81317,49.10018,10.765615,9:00-17:00,9:00-17:00,9:00-17:00,9:00-17:00,9:00-17:00,10:00-16:00,Closed,true,true,false,true
Creative Cluj-Napoca,"Quality art galleries services in Cluj-Napoca, Romania. Professional and reliable business serving the local community.",23,info@creativecluj-napoca.com,+98-947-1038,https://www.creativecluj-napoca.com,551 Queen Street,Cluj-Napoca,Romania,91023,53.696974,9.210441,9:00-17:00,9:00-17:00,9:00-17:00,9:00-17:00,9:00-17:00,10:00-16:00,Closed,true,true,false,true
Gallery Prešov,"Quality art galleries services in Prešov, Slovakia. Professional and reliable business serving the local community.",23,info@galleryprešov.com,+78-250-5232,https://www.galleryprešov.com,555 Queen Street,Prešov,Slovakia,87180,38.590491,2.132007,9:00-17:00,9:00-17:00,9:00-17:00,9:00-17:00,9:00-17:00,10:00-16:00,Closed,true,true,false,true
Gallery Ljubljana,"Quality art galleries services in Ljubljana, Slovenia. Professional and reliable business serving the local community.",23,info@galleryljubljana.com,+88-921-8896,https://www.galleryljubljana.com,622 Main Street,Ljubljana,Slovenia,80741,50.919448,9.830299,9:00-17:00,9:00-17:00,9:00-17:00,9:00-17:00,9:00-17:00,10:00-16:00,Closed,true,true,false,true
Creative Västerås,"Quality art galleries services in Västerås, Sweden. Professional and reliable business serving the local community.",23,info@creativevästerås.com,+48-727-6162,https://www.creativevästerås.com,413 King Street,Västerås,Sweden,48480,50.687191,15.159148,9:00-17:00,9:00-17:00,9:00-17:00,9:00-17:00,9:00-17:00,10:00-16:00,Closed,true,true,false,false
Graz Kitchen,"Quality asian restaurants services in Graz, Austria. Professional and reliable business serving the local community.",30,info@grazkitchen.com,+30-102-4410,https://www.grazkitchen.com,620 King Street,Graz,Austria,88901,51.227532,26.170125,9:00-17:00,9:00-17:00,9:00-17:00,9:00-17:00,9:00-17:00,10:00-16:00,Closed,true,true,false,true
Orient Ruse,"Quality asian restaurants services in Ruse, Bulgaria. Professional and reliable business serving the local community.",30,info@orientruse.com,+96-285-5412,https://www.orientruse.com,840 High Street,Ruse,Bulgaria,53657,44.015422,2.709143,9:00-17:00,9:00-17:00,9:00-17:00,9:00-17:00,9:00-17:00,10:00-16:00,Closed,true,true,false,true
Orient Zadar,"Quality asian restaurants services in Zadar, Croatia. Professional and reliable business serving the local community.",30,info@orientzadar.com,+79-932-2818,https://www.orientzadar.com,570 High Street,Zadar,Croatia,78582,47.279079,-5.869914,9:00-17:00,9:00-17:00,9:00-17:00,9:00-17:00,9:00-17:00,10:00-16:00,Closed,true,true,false,true
Asian Fusion Larnaca,"Quality asian restaurants services in Larnaca, Cyprus. Professional and reliable business serving the local community.",30,info@asianfusionlarnaca.com,+51-217-6725,https://www.asianfusionlarnaca.com,334 King Street,Larnaca,Cyprus,59051,46.133366,6.733723,9:00-17:00,9:00-17:00,9:00-17:00,9:00-17:00,9:00-17:00,10:00-16:00,Closed,true,true,false,false
Bamboo Brno,"Quality asian restaurants services in Brno, Czech Republic. Professional and reliable business serving the local community.",30,info@bamboobrno.com,+51-367-7846,https://www.bamboobrno.com,536 Main Street,Brno,Czech Republic,18608,36.784505,29.863954,9:00-17:00,9:00-17:00,9:00-17:00,9:00-17:00,9:00-17:00,10:00-16:00,Closed,true,true,false,false
Asian Fusion Aalborg,"Quality asian restaurants services in Aalborg, Denmark. Professional and reliable business serving the local community.",30,info@asianfusionaalborg.com,+42-235-8430,https://www.asianfusionaalborg.com,779 Church Street,Aalborg,Denmark,81255,35.093382,16.532931,9:00-17:00,9:00-17:00,9:00-17:00,9:00-17:00,9:00-17:00,10:00-16:00,Closed,true,true,false,false
Bamboo Kohtla-Järve,"Quality asian restaurants services in Kohtla-Järve, Estonia. Professional and reliable business serving the local community.",30,info@bambookohtla-järve.com,+67-399-6033,https://www.bambookohtla-järve.com,815 Main Street,Kohtla-Järve,Estonia,30807,60.780174,20.749378,9:00-17:00,9:00-17:00,9:00-17:00,9:00-17:00,9:00-17:00,10:00-16:00,Closed,true,true,false,true
Asian Fusion Tampere,"Quality asian restaurants services in Tampere, Finland. Professional and reliable business serving the local community.",30,info@asianfusiontampere.com,+37-591-7230,https://www.asianfusiontampere.com,466 Queen Street,Tampere,Finland,32621,54.308207,25.410857,9:00-17:00,9:00-17:00,9:00-17:00,9:00-17:00,9:00-17:00,10:00-16:00,Closed,true,true,false,true
Bamboo Heraklion,"Quality asian restaurants services in Heraklion, Greece. Professional and reliable business serving the local community.",30,info@bambooheraklion.com,+40-720-2575,https://www.bambooheraklion.com,791 Main Street,Heraklion,Greece,64970,52.013328,20.270955,9:00-17:00,9:00-17:00,9:00-17:00,9:00-17:00,9:00-17:00,10:00-16:00,Closed,true,true,false,true
Bamboo Miskolc,"Quality asian restaurants services in Miskolc, Hungary. Professional and reliable business serving the local community.",30,info@bamboomiskolc.com,+61-647-2915,https://www.bamboomiskolc.com,118 Queen Street,Miskolc,Hungary,70823,35.762339,23.466724,9:00-17:00,9:00-17:00,9:00-17:00,9:00-17:00,9:00-17:00,10:00-16:00,Closed,true,true,false,true
Limerick Kitchen,"Quality asian restaurants services in Limerick, Ireland. Professional and reliable business serving the local community.",30,info@limerickkitchen.com,+79-206-7392,https://www.limerickkitchen.com,934 Queen Street,Limerick,Ireland,96880,46.663028,6.225039,9:00-17:00,9:00-17:00,9:00-17:00,9:00-17:00,9:00-17:00,10:00-16:00,Closed,true,true,false,false
Dragon Milan,"Quality asian restaurants services in Milan, Italy. Professional and reliable business serving the local community.",30,info@dragonmilan.com,+58-110-2907,https://www.dragonmilan.com,227 High Street,Milan,Italy,77215,63.417416,27.422963,9:00-17:00,9:00-17:00,9:00-17:00,9:00-17:00,9:00-17:00,10:00-16:00,Closed,true,true,false,false
Dragon Jūrmala,"Quality asian restaurants services in Jūrmala, Latvia. Professional and reliable business serving the local community.",30,info@dragonjūrmala.com,+73-864-6234,https://www.dragonjūrmala.com,586 Church Street,Jūrmala,Latvia,47891,38.99669,-6.96211,9:00-17:00,9:00-17:00,9:00-17:00,9:00-17:00,9:00-17:00,10:00-16:00,Closed,true,true,false,false
Orient Panevėžys,"Quality asian restaurants services in Panevėžys, Lithuania. Professional and reliable business serving the local community.",30,info@orientpanevėžys.com,+45-295-8777,https://www.orientpanevėžys.com,222 High Street,Panevėžys,Lithuania,83297,67.258532,15.952238,9:00-17:00,9:00-17:00,9:00-17:00,9:00-17:00,9:00-17:00,10:00-16:00,Closed,true,true,false,false
Bamboo Differdange,"Quality asian restaurants services in Differdange, Luxembourg. Professional and reliable business serving the local community.",30,info@bamboodifferdange.com,+83-310-6413,https://www.bamboodifferdange.com,463 Main Street,Differdange,Luxembourg,48862,61.023989,-8.587631,9:00-17:00,9:00-17:00,9:00-17:00,9:00-17:00,9:00-17:00,10:00-16:00,Closed,true,true,false,true
Bamboo Valletta,"Quality asian restaurants services in Valletta, Malta. Professional and reliable business serving the local community.",30,info@bamboovalletta.com,+74-174-9135,https://www.bamboovalletta.com,472 Church Street,Valletta,Malta,67518,53.395756,4.957639,9:00-17:00,9:00-17:00,9:00-17:00,9:00-17:00,9:00-17:00,10:00-16:00,Closed,true,true,false,false
