name,description,address,phone_number,website,email,category,city,country,postal_code,latitude,longitude,monday_hours,tuesday_hours,wednesday_hours,thursday_hours,friday_hours,saturday_hours,sunday_hours,is_active,is_public,is_featured
AFC Auto Fleet Control GmbH,Professional insurance agency services.,"Valentinskamp 70, 20355 Hamburg, Germany",040 7968600,https://www.autofleetcontrol.de/,info@afcautofleetcontrolgmbh.com,Insurance Agencies,Hamburg,Germany,,53.555986,9.983593,,,,,,,,true,true,false
AGATHA Paris - LYON,Professional jewelry store services.,"100 Rue du Président Édouard Herriot, 69002 Lyon, France",04 85 69 62 81,https://www.agatha.fr/,info@agathaparislyon.com,Jewelry Stores,Lyon,France,,45.758898,4.833841,,,,,,,,true,true,false
AIBS ASSURANCES,Professional insurance agency services.,"99 B Rue du Camas, 13005 Marseille, France",09 82 44 41 48,https://www.aibs-assurances.fr/,info@aibsassurances.com,Insurance Agencies,Marseille,France,,43.29611,5.395864,,,,,,,,true,true,false
AIDA Books&More Valencia,Professional book store services.,"C/ de Moratín, 11, Ciutat Vella, 46002 València, Valencia, Spain",963 51 54 35,http://aidabooks.org/,info@aidabooksmorevalencia.com,Bookstore,Valencia,Spain,,39.471188,-0.37586,,,,,,,,true,true,false
AJ Büroservice,Professional consultant services.,"Rykestraße 3, 10405 Berlin, Germany",030 98421088,https://ajburoservice.de/,info@ajburoservice.com,Business Consultants,Berlin,Germany,,52.534854,13.420044,,,,,,,,true,true,false
ALBOCARS,Professional car dealer services.,"Av. de l'Orxata, 49, 46120 Alboraia, Valencia, Spain",622 83 76 92,https://www.albocars.net/,info@albocars.com,Car Dealers,Valencia,Spain,,39.494481,-0.356425,,,,,,,,true,true,false
ALCHEMY Specialty Coffee,Professional coffee shop services.,"C. de San Millán, 4, Centro, 28012 Madrid, Spain",,https://alchemyspecialtycoffee.shop/,info@alchemyspecialtycoffee.com,Retail,Madrid,Spain,,40.411489,-3.707749,,,,,,,,true,true,false
ALLIANZ Lyon,Professional insurance agency services.,"21 Rue Sainte-Hélène, 69002 Lyon, France",04 82 83 98 00,https://www.assurance-lyon.com/,info@allianzlyon.com,Insurance Agencies,Lyon,France,,45.754577,4.830643,,,,,,,,true,true,false
ALMA Hair Spa Saló - Perruqueria,Professional hair salon services.,"Carrer de Balmes, 255, Sarrià-Sant Gervasi, 08006 Barcelona, Spain",657 71 62 22,http://www.almasalon.es/,info@almahairspasaloperruqueria.com,Beauty Salon,Barcelona,Spain,,41.400032,2.149058,,,,,,,,true,true,false
ALMA par Marvin Brandao Pâtisserie-Boulangerie-Chocolaterie,Professional bakery services.,"17 Rue Bugeaud, 69006 Lyon, France",04 78 24 96 70,https://alma-lyon6.com/,info@almaparmarvinbrandaopatisserieboulangeriechocolaterie.com,Pastry Shops,Lyon,France,,45.765975,4.843278,,,,,,,,true,true,false
"ALOHA Valencia - Poké, ensaladas & more",Professional american restaurant services.,"Carrer de Martínez Cubells, 6, Ciutat Vella, 46002 València, Valencia, Spain",960 08 85 70,https://healthylifehappylife.es/,info@alohavalenciapokeensaladasmore.com,Asian Restaurants,Valencia,Spain,,39.468453,-0.374442,,,,,,,,true,true,false
ALPASO SNEAKERS,Professional shoe store services.,"Carrer de Marià Cubí, 41, Sarrià-Sant Gervasi, 08006 Barcelona, Spain",932 17 05 95,https://www.instagram.com/alpasosneakers/,info@alpasosneakers.com,Shoe Stores,Barcelona,Spain,,41.398526,2.150206,,,,,,,,true,true,false
ALTANA BARCELONA,Professional consultant services.,"Pg. de Gràcia, 2, L'Eixample, 08007 Barcelona, Spain",,https://www.altana-barcelona.com/,info@altanabarcelona.com,Business Consultants,Barcelona,Spain,,41.38837,2.170106,,,,,,,,true,true,false
ALVATO Car Wash Sevilla,Professional car wash services.,"Av. de Palmas Altas, 1 Centro Comencial Lagoh, Párking Subterráneo, 41014 Sevilla, Spain",644 81 93 61,https://alvato.com/Ciudad/centro-comercial-lagoh-parking-subterraneo/,info@alvatocarwashsevilla.com,Automotive,Las Palmas,Spain,,37.34274,-5.989642,,,,,,,,true,true,false
AMBRENCE - Salon de coiffure,Professional hair salon services.,"7 Rue Tolosane, 31000 Toulouse, France",06 37 25 39 13,https://ambrence.com/,info@ambrencesalondecoiffure.com,Beauty Salon,Toulouse,France,,43.599375,1.44704,,,,,,,,true,true,false
AMG Avocats,Professional lawyer services.,"1 Rue Haxo, 13001 Marseille, France",04 91 57 10 79,http://www.amgavocatsmarseille.com/,info@amgavocats.com,Legal Services,Marseille,France,,43.294687,5.376979,,,,,,,,true,true,false
AMS Store GmbH,Professional store services.,"Nunsdorfer Ring 2-10, 12277 Berlin, Germany",030 72324054,http://www.ams-berlin.com/,info@amsstoregmbh.com,Retail,Berlin,Germany,,52.407943,13.379724,,,,,,,,true,true,false
AMURA BROKER - Correduría de seguros en Madrid,Professional insurance agency services.,"C. de Oquendo, 23, 3-C, Chamartín, 28006 Madrid, Spain",,http://www.amurabroker.com/,info@amurabrokercorreduriadesegurosenmadrid.com,Insurance Agencies,Madrid,Spain,,40.440654,-3.682109,,,,,,,,true,true,false
ANDIAMO,Professional italian restaurant services.,"2 Av. Paul Séjourné, 31000 Toulouse, France",06 61 04 83 99,http://andiamo-toulouse.eatbu.com/,info@andiamo.com,Italian Restaurants,Toulouse,France,,43.605668,1.428337,,,,,,,,true,true,false
ANIMALES EXÓTICOS 24H - Veterinarios especialistas,Professional veterinary care services.,"C. de Cartagena, 160, Chamartín, 28002 Madrid, Spain",912 20 72 27,http://www.animalesexoticos24h.es/,info@animalesexoticos24hveterinariosespecialistas.com,Veterinary,Madrid,Spain,,40.44336,-3.676483,,,,,,,,true,true,false
ANTIQUE JEWELLERY,Professional jewelry store services.,"Linienstraße 44, 10119 Berlin, Germany",030 20689155,https://antique-jewellery.de/,info@antiquejewellery.com,Jewelry Stores,Berlin,Germany,,52.528448,13.408429,,,,,,,,true,true,false
ANWALTSKANZLEI AVANAS LEGAL,Professional lawyer services.,"Raboisen 16, 20099 Hamburg, Germany",040 22851820,http://www.avanas.de/,info@anwaltskanzleiavanaslegal.com,Legal Services,Hamburg,Germany,,53.554041,10.00119,,,,,,,,true,true,false
AOK Rheinland/Hamburg - GS Hamburg Wandsbek,Professional insurance agency services.,"Pappelallee 22-26, 22089 Hamburg, Germany",0211 81950000,https://www.aok.de/pk/rh/region/hamburg/,info@aokrheinlandhamburggshamburgwandsbek.com,Insurance Agencies,Hamburg,Germany,,53.566498,10.059548,,,,,,,,true,true,false
AP REALTY AGENCY,Professional real estate agency services.,"C. Héroe Romeu, 14, bj., izq, Extramurs, 46008 Valencia, Spain",676 31 36 43,https://www.aprealtyagency.com/,info@aprealtyagency.com,Real Estate Agencies,Valencia,Spain,,39.468686,-0.389956,,,,,,,,true,true,false
AP Solutions GmbH,Professional insurance agency services.,"Scharnhorststraße 26, 10115 Berlin, Germany",07024 469510,https://www.mawista.com/berlin,info@apsolutionsgmbh.com,Insurance Agencies,Berlin,Germany,,52.533765,13.37083,,,,,,,,true,true,false
APW Lehmann Automobile GmbH,Professional car dealer services.,"Saseler Chaussee 60-66, 22391 Hamburg, Germany",040 6490990,http://www.lehmann-automobile.com/,info@apwlehmannautomobilegmbh.com,Car Dealers,Hamburg,Germany,,53.639308,10.095628,,,,,,,,true,true,false
ARCHIPEL LYON - EXPERT COMPTABLE,Professional consultant services.,"9 Quai des Célestins, 69002 Lyon, France",04 23 32 40 36,https://www.archipel-lyon.fr/,info@archipellyonexpertcomptable.com,Business Consultants,Lyon,France,,45.760108,4.830794,,,,,,,,true,true,false
AREA Cars Exclusive GmbH,Professional car dealer services.,"Bismarckstraße 24-28, 10625 Berlin, Germany",030 32767886,http://areacars.de/,info@areacarsexclusivegmbh.com,Car Dealers,Berlin,Germany,,52.512258,13.312059,,,,,,,,true,true,false
ARIS - Expertise Comptable Lyon,Professional consultant services.,"45 Rue de l'Abondance, 69003 Lyon, France",09 81 43 26 70,https://www.aris-expertise.com/,info@arisexpertisecomptablelyon.com,Business Consultants,Lyon,France,,45.753895,4.854271,,,,,,,,true,true,false
ARRABE INTEGRA - Company Advisors,Professional consultant services.,"C. de Alfonso XII, 20, Planta 1ª, Retiro, 28014 Madrid, Spain",915 48 95 40,https://www.arrabeintegra.es/,info@arrabeintegracompanyadvisors.com,Business Consultants,Madrid,Spain,,40.41694,-3.689226,,,,,,,,true,true,false
ARS Tires - Reifengroßhandel,Professional auto parts store services.,"Am Containerbahnhof 1, 10367 Berlin, Germany",01577 2139621,https://www.kleinanzeigen.de/pro/ars-tires?utm_source=copyToPasteboard&utm_campaign=socialbuttons&utm_medium=social&utm_content=app_ios,info@arstiresreifengrohandel.com,Retail,Berlin,Germany,,52.515835,13.4758,,,,,,,,true,true,false
ART Restaurant Lyon,Professional french restaurant services.,"3 Rue Sala, 69002 Lyon, France",09 51 54 79 68,https://www.art-restaurant.fr/,info@artrestaurantlyon.com,French Restaurants,Lyon,France,,45.756793,4.827372,,,,,,,,true,true,false
ARTEMIS,Professional jewelry store services.,"13 Rue Émile Zola, 69002 Lyon, France",04 72 40 90 15,https://m.facebook.com/artemislyon/,info@artemis.com,Jewelry Stores,Lyon,France,,45.759019,4.832824,,,,,,,,true,true,false
ARTS.SD —Coiffure Jeanne D'Arc,Professional hair salon services.,"12 Rue Matabiau, 31000 Toulouse, France",05 34 67 98 57,https://www.planity.com/artssd-coiffure-jeanne-dar-31000-toulouse,info@artssdcoiffurejeannedarc.com,Beauty Salon,Toulouse,France,,43.610051,1.446999,,,,,,,,true,true,false
"ASESORUS, Asesoría empresas y autonomos",Professional consultant services.,"Cra de S. Jerónimo, 17, 2º planta, Centro, 28014 Madrid, Spain",913 02 53 00,https://www.asesorus.es/,info@asesorusasesoriaempresasyautonomos.com,Business Consultants,Madrid,Spain,,40.416784,-3.698847,,,,,,,,true,true,false
ASP Autosalon Berlin GmbH,Professional car dealer services.,"Brunsbütteler Damm 102, 13581 Berlin, Germany",030 30641080,http://www.autosalon-berlin.de/,info@aspautosalonberlingmbh.com,Car Dealers,Berlin,Germany,,52.53432,13.183252,,,,,,,,true,true,false
ASSIA et NATHALIE,"Informal B&B offering 2 bright rooms with safes & minibars (1 with a whirlpool tub), plus a garden.","16 Rue du Parc Royal, 75003 Paris, France",06 19 61 09 69,https://assiaetnathalie.com/en/,info@assiaetnathalie.com,Bed & Breakfasts,Paris,France,,48.858992,2.36264,,,,,,,,true,true,false
ASSU 2000 Lyon Gambetta,Professional insurance agency services.,"27 Cr Gambetta, 69003 Lyon, France",01 48 10 46 40,https://agence.assu2000.fr/lyon/agence-assu-2000-lyon-gambetta-TI0000002140,info@assu2000lyongambetta.com,Insurance Agencies,Lyon,France,,45.754866,4.84471,,,,,,,,true,true,false
ASSU 2000 Marseille Baille,Professional insurance agency services.,"8 Bd Baille, 13006 Marseille, France",01 48 10 41 15,https://agence.assu2000.fr/marseille/agence-assu-2000-marseille-baille-TI0000002447,info@assu2000marseillebaille.com,Insurance Agencies,Marseille,France,,43.28618,5.385397,,,,,,,,true,true,false
ASSURANCES 69 LYON,Professional insurance agency services.,"30 Rue Edison, 69003 Lyon, France",07 44 94 40 93,https://assurances69.fr/,info@assurances69lyon.com,Insurance Agencies,Lyon,France,,45.756344,4.847707,,,,,,,,true,true,false
ASSURSAFE Lyon,Professional insurance agency services.,"7 Quai du Général Sarrail, 69006 Lyon, France",04 28 38 62 75,https://assursafe.fr/,info@assursafelyon.com,Insurance Agencies,Lyon,France,,45.766224,4.841703,,,,,,,,true,true,false
ASTOR Film Lounge HafenCity,Professional movie theater services.,"Am Sandtorkai 46a, 20457 Hamburg, Germany",0180 5 777966,https://hamburg.premiumkino.de/,info@astorfilmloungehafencity.com,Cinemas,Hamburg,Germany,,53.54339,9.995696,,,,,,,,true,true,false
ATELIER FRED AUTO - GARAGE PREMIER Gg Lyon City,Professional car repair services.,"18 TER, 20 Rue Jean Chevailler, 69008 Lyon, France",04 78 75 88 93,https://reseau.garage-premier.fr/5695-fred-auto,info@atelierfredautogaragepremiergglyoncity.com,Auto Repair,Lyon,France,,45.734251,4.862096,,,,,,,,true,true,false
AURATIO - Fabien Gautheron - Cabinet d'Expertise Comptable et Commissariat aux Comptes,Professional consultant services.,"139 Rue Vendôme Allée B - 11e Étage, 69006 Lyon, France",04 81 09 17 17,https://www.auratio.fr/,info@auratiofabiengautheroncabinetdexpertisecomptableetcommissariatauxcomptes.com,Business Consultants,Lyon,France,,45.764776,4.84604,,,,,,,,true,true,false
AUSTRIA 36,Professional shoe store services.,"C de Don Juan de Austria, 36, Ciutat Vella, 46002 València, Valencia, Spain",963 52 01 83,,info@austria36.com,Shoe Stores,Valencia,Spain,,39.47027,-0.371502,,,,,,,,true,true,false
AUTO BROS Valencia,Professional car repair services.,"Carrer de València, 433, L'Eixample, 08013 Barcelona, Spain",931 40 11 04,,info@autobrosvalencia.com,Auto Repair,Barcelona,Spain,,41.402461,2.176133,,,,,,,,true,true,false
AUTO ELAND,Professional car dealer services.,"Av. de Sarrià, 11, 13, L'Eixample, 08029 Barcelona, Spain",933 48 57 80,http://www.autoeland.com/,info@autoeland.com,Car Dealers,Barcelona,Spain,,41.389846,2.147169,,,,,,,,true,true,false
AUTO FRANCE SERVICE,Professional car repair services.,"38 Rue de la Glacière, 75013 Paris, France",07 51 33 75 39,,info@autofranceservice.com,Auto Repair,Paris,France,,48.833741,2.344657,,,,,,,,true,true,false
AUTO OCASION SAEZ - Compramos tu coche en Valencia - Tasación de coches - coches de segunda mano en Valencia,Professional car dealer services.,"Av. del Mestre Rodrigo, 22, Campanar, 46015 València, Valencia, Spain",661 85 48 16,http://www.autosaez.com/,info@autoocasionsaezcompramostucocheenvalenciatasaciondecochescochesdesegundamanoenvalencia.com,Car Dealers,Valencia,Spain,,39.479765,-0.398607,,,,,,,,true,true,false
