external_id,source,source_url,name,legal_name,description,category_primary,category_secondary,tags,website,email,phone,address_line1,address_line2,postal_code,city,region,country_code,country,latitude,longitude,facebook,instagram,linkedin,logo_url,image_url,opening_hours,status,verified,notes,created_at,updated_at
,employment_businesses_20251106_120745,,Greece Recruitment Partners,,Executive search firm providing high-level recruitment solutions for multinational companies.,Employment,,,https://www.greece-recruitment-p.com,contact@greecerecruitme.com,+30 446589522,252 Corporate Avenue,,,Athens,,,Greece,,,,,,,,,True,True,,,
,employment_businesses_20251106_120745,,IT Recruitment Athens,,"Comprehensive staffing agency offering recruitment, temp services, and HR consulting.",Employment,,,https://www.it-recruitment-athen.com,contact@itrecruitmentat.com,+30 476961062,170 Corporate Avenue,,,Athens,,,Greece,,,,,,,,,True,False,,,
,employment_businesses_20251106_120745,,International Careers Greece,,Professional employment agency specializing in permanent and temporary placements across multiple industries.,Employment,,,https://www.international-career.com,contact@internationalca.com,+30 682360547,513 Recruitment Road,,,Athens,,,Greece,,,,,,,,,True,True,,,
,employment_businesses_20251106_120745,,International Staff Athens,,Professional staffing company focusing on engineering and technical recruitment.,Employment,,,https://www.international-staff-.com,contact@internationalst.com,+30 808815483,463 Career Street,,,Athens,,,Greece,,,,,,,,,True,True,,,
,employment_businesses_20251106_120745,,Human Capital Banska Bystrica,,Executive search firm providing high-level recruitment solutions for multinational companies.,Employment,,,https://www.human-capital-banska.com,contact@humancapitalban.com,+421 461398825,7 Banska Bystrica Square,,,Banska Bystrica,,,Slovakia,,,,,,,,,True,True,,,
,employment_businesses_20251106_120745,,WorldWork Banska Bystrica,,Employment agency specializing in legal profession recruitment and placement services.,Employment,,,https://www.worldwork-banska-bys.com,contact@worldworkbanska.com,+421 390106228,394 Central Avenue,,,Banska Bystrica,,,Slovakia,,,,,,,,,True,True,,,
,employment_businesses_20251106_120745,,Barcelona Headhunters,,Executive recruitment firm serving multinational corporations and SMEs.,Employment,,,https://www.barcelona-headhunter.com,contact@barcelonaheadhu.com,+34 307453465,928 Main Street,,,Barcelona,,,Spain,,,,,,,,,True,False,,,
,employment_businesses_20251106_120745,,Career Builders Spain,,Executive search firm providing high-level recruitment solutions for multinational companies.,Employment,,,https://www.career-builders-spai.com,contact@careerbuilderss.com,+34 154446199,105 Executive Avenue,,,Barcelona,,,Spain,,,,,,,,,True,True,,,
,employment_businesses_20251106_120745,,International Staff Barcelona,,Full-service employment agency providing workforce solutions for businesses of all sizes.,Employment,,,https://www.international-staff-.com,contact@internationalst.com,+34 161541415,225 Executive Avenue,,,Barcelona,,,Spain,,,,,,,,,True,True,,,
,employment_businesses_20251106_120745,,Legal Recruitment Barcelona,,Full-service employment agency providing workforce solutions for businesses of all sizes.,Employment,,,https://www.legal-recruitment-ba.com,contact@legalrecruitmen.com,+34 374496494,469 Staffing Road,,,Barcelona,,,Spain,,,,,,,,,True,False,,,
,employment_businesses_20251106_120745,,Berlin Tech Talent,,International staffing company providing workforce solutions across European markets.,Employment,,,https://www.berlin-tech-talent.com,contact@berlintechtalen.com,+49 418885983,652 Executive Avenue,,,Berlin,,,Germany,,,,,,,,,True,False,,,
,employment_businesses_20251106_120745,,Germany Recruitment Partners,,Employment agency dedicated to healthcare staffing and medical professional placements.,Employment,,,https://www.germany-recruitment-.com,contact@germanyrecruitm.com,+49 808822784,262 Berlin Center,,,Berlin,,,Germany,,,,,,,,,True,True,,,
,employment_businesses_20251106_120745,,TalentFind Berlin,,International recruitment agency for hospitality and tourism industry professionals.,Employment,,,https://www.talentfind-berlin.com,contact@talentfindberli.com,+49 116969182,852 Professional Street,,,Berlin,,,Germany,,,,,,,,,True,True,,,
,employment_businesses_20251106_120745,,International Staff Birkirkara,,Professional staffing company focusing on engineering and technical recruitment.,Employment,,,https://www.international-staff-.com,contact@internationalst.com,+356 465489836,606 Jobs Road,,,Birkirkara,,,Malta,,,,,,,,,True,True,,,
,employment_businesses_20251106_120745,,Medical Staff Malta,,"Comprehensive staffing agency offering recruitment, temp services, and HR consulting.",Employment,,,https://www.medical-staff-malta.com,contact@medicalstaffmal.com,+356 928896739,689 Birkirkara Plaza,,,Birkirkara,,,Malta,,,,,,,,,True,False,,,
,employment_businesses_20251106_120745,,Premier Recruitment Birkirkara,,International recruitment agency for hospitality and tourism industry professionals.,Employment,,,https://www.premier-recruitment-.com,contact@premierrecruitm.com,+356 863888591,121 Staffing Road,,,Birkirkara,,,Malta,,,,,,,,,True,True,,,
,employment_businesses_20251106_120745,,Flexible Work Portugal,,Professional employment agency specializing in permanent and temporary placements across multiple industries.,Employment,,,https://www.flexible-work-portug.com,contact@flexibleworkpor.com,+351 204207802,975 Commercial Street,,,Braga,,,Portugal,,,,,,,,,True,True,,,
,employment_businesses_20251106_120745,,International Careers Portugal,,Professional staffing company focusing on engineering and technical recruitment.,Employment,,,https://www.international-career.com,contact@internationalca.com,+351 238645787,932 Talent Road,,,Braga,,,Portugal,,,,,,,,,True,True,,,
,employment_businesses_20251106_120745,,Legal Recruitment Braga,,Specialized staffing agency for construction and skilled trades professionals.,Employment,,,https://www.legal-recruitment-br.com,contact@legalrecruitmen.com,+351 688901224,458 Business Street,,,Braga,,,Portugal,,,,,,,,,True,False,,,
,employment_businesses_20251106_120745,,Professional Staffing Braga,,International recruitment agency for hospitality and tourism industry professionals.,Employment,,,https://www.professional-staffin.com,contact@professionalsta.com,+351 626890060,564 Executive Avenue,,,Braga,,,Portugal,,,,,,,,,True,True,,,
,employment_businesses_20251106_120745,,WorldWork Braga,,Employment agency dedicated to healthcare staffing and medical professional placements.,Employment,,,https://www.worldwork-braga.com,contact@worldworkbraga.com,+351 129807722,266 Braga Plaza,,,Braga,,,Portugal,,,,,,,,,True,True,,,
,employment_businesses_20251106_120745,,Bratislava Headhunters,,Full-service employment agency providing workforce solutions for businesses of all sizes.,Employment,,,https://www.bratislava-headhunte.com,contact@bratislavaheadh.com,+421 147217763,168 Bratislava Plaza,,,Bratislava,,,Slovakia,,,,,,,,,True,True,,,
,employment_businesses_20251106_120745,,Elite Bratislava Jobs,,Employment agency dedicated to healthcare staffing and medical professional placements.,Employment,,,https://www.elite-bratislava-job.com,contact@elitebratislava.com,+421 342918845,296 Jobs Road,,,Bratislava,,,Slovakia,,,,,,,,,True,True,,,
,employment_businesses_20251106_120745,,Executive Recruitment Bratislava,,"Professional recruitment consultancy for sales, marketing, and business development roles.",Employment,,,https://www.executive-recruitmen.com,contact@executiverecrui.com,+421 816630159,241 Staffing Road,,,Bratislava,,,Slovakia,,,,,,,,,True,False,,,
,employment_businesses_20251106_120745,,Global Employment Bratislava,,International staffing company providing workforce solutions across European markets.,Employment,,,https://www.global-employment-br.com,contact@globalemploymen.com,+421 165977870,870 Premier Avenue,,,Bratislava,,,Slovakia,,,,,,,,,True,False,,,
,employment_businesses_20251106_120745,,Human Capital Bratislava,,"Comprehensive staffing agency offering recruitment, temp services, and HR consulting.",Employment,,,https://www.human-capital-bratis.com,contact@humancapitalbra.com,+421 428878399,307 Recruitment Road,,,Bratislava,,,Slovakia,,,,,,,,,True,True,,,
,employment_businesses_20251106_120745,,International Staff Bratislava,,International career services helping professionals find opportunities across Europe.,Employment,,,https://www.international-staff-.com,contact@internationalst.com,+421 493811123,498 Professional Street,,,Bratislava,,,Slovakia,,,,,,,,,True,True,,,
,employment_businesses_20251106_120745,,Brno Headhunters,,International career services helping professionals find opportunities across Europe.,Employment,,,https://www.brno-headhunters.com,contact@brnoheadhunters.com,+420 531820131,160 Career Street,,,Brno,,,Czech Republic,,,,,,,,,True,True,,,
,employment_businesses_20251106_120745,,Czech Republic Recruitment Partners,,Premier recruitment firm specializing in executive and management level positions.,Employment,,,https://www.czech-republic-recru.com,contact@czechrepublicre.com,+420 736229698,716 Recruitment Road,,,Brno,,,Czech Republic,,,,,,,,,True,False,,,
,employment_businesses_20251106_120745,,Executive Recruitment Brno,,"Employment consultancy specializing in finance, banking, and accounting careers.",Employment,,,https://www.executive-recruitmen.com,contact@executiverecrui.com,+420 160837016,479 Brno Park,,,Brno,,,Czech Republic,,,,,,,,,True,False,,,
,employment_businesses_20251106_120745,,Flexible Work Czech Republic,,"Professional recruitment consultancy for sales, marketing, and business development roles.",Employment,,,https://www.flexible-work-czech-.com,contact@flexibleworkcze.com,+420 696346601,898 Jobs Road,,,Brno,,,Czech Republic,,,,,,,,,True,True,,,
,employment_businesses_20251106_120745,,Premier Recruitment Brno,,Employment agency specializing in legal profession recruitment and placement services.,Employment,,,https://www.premier-recruitment-.com,contact@premierrecruitm.com,+420 582193343,232 Professional Street,,,Brno,,,Czech Republic,,,,,,,,,True,False,,,
,employment_businesses_20251106_120745,,Temporary Staff Brno,,International career services helping professionals find opportunities across Europe.,Employment,,,https://www.temporary-staff-brno.com,contact@temporarystaffb.com,+420 612304096,621 Corporate Avenue,,,Brno,,,Czech Republic,,,,,,,,,True,False,,,
,employment_businesses_20251106_120745,,Brussels Contract Work,,Premier recruitment firm specializing in executive and management level positions.,Employment,,,https://www.brussels-contract-wo.com,contact@brusselscontrac.com,+32 526543847,509 Brussels Center,,,Brussels,,,Belgium,,,,,,,,,True,False,,,
,employment_businesses_20251106_120745,,Brussels Sales Careers,,International recruitment agency for hospitality and tourism industry professionals.,Employment,,,https://www.brussels-sales-caree.com,contact@brusselssalesca.com,+32 977947950,701 Corporate Avenue,,,Brussels,,,Belgium,,,,,,,,,True,False,,,
,employment_businesses_20251106_120745,,Construction Jobs Belgium,,International career services helping professionals find opportunities across Europe.,Employment,,,https://www.construction-jobs-be.com,contact@constructionjob.com,+32 186261849,2 Premier Avenue,,,Brussels,,,Belgium,,,,,,,,,True,True,,,
,employment_businesses_20251106_120745,,European Careers Brussels,,Temporary staffing solutions provider for industrial and manufacturing sectors.,Employment,,,https://www.european-careers-bru.com,contact@europeancareers.com,+32 401124027,757 Central Avenue,,,Brussels,,,Belgium,,,,,,,,,True,True,,,
,employment_businesses_20251106_120745,,Healthcare Staffing Belgium,,Professional staffing company focusing on engineering and technical recruitment.,Employment,,,https://www.healthcare-staffing-.com,contact@healthcarestaff.com,+32 921637563,544 Brussels Square,,,Brussels,,,Belgium,,,,,,,,,True,True,,,
,employment_businesses_20251106_120745,,Bucharest Employment Solutions,,Specialized recruitment consultancy for IT professionals and technology companies.,Employment,,,https://www.bucharest-employment.com,contact@bucharestemploy.com,+40 449657219,630 Professional Street,,,Bucharest,,,Romania,,,,,,,,,True,False,,,
,employment_businesses_20251106_120745,,Bucharest Sales Careers,,International recruitment agency for hospitality and tourism industry professionals.,Employment,,,https://www.bucharest-sales-care.com,contact@bucharestsalesc.com,+40 713889521,457 Bucharest Park,,,Bucharest,,,Romania,,,,,,,,,True,True,,,
,employment_businesses_20251106_120745,,Romania Recruitment Partners,,Specialized staffing agency for construction and skilled trades professionals.,Employment,,,https://www.romania-recruitment-.com,contact@romaniarecruitm.com,+40 519435106,343 Corporate Avenue,,,Bucharest,,,Romania,,,,,,,,,True,False,,,
,employment_businesses_20251106_120745,,Workforce Solutions Bucharest,,Full-service employment agency providing workforce solutions for businesses of all sizes.,Employment,,,https://www.workforce-solutions-.com,contact@workforcesoluti.com,+40 362743764,439 Talent Road,,,Bucharest,,,Romania,,,,,,,,,True,True,,,
,employment_businesses_20251106_120745,,Budapest Tech Talent,,"Employment consultancy specializing in finance, banking, and accounting careers.",Employment,,,https://www.budapest-tech-talent.com,contact@budapesttechtal.com,+36 524911688,394 Employment Street,,,Budapest,,,Hungary,,,,,,,,,True,True,,,
,employment_businesses_20251106_120745,,Elite Budapest Jobs,,International staffing company providing workforce solutions across European markets.,Employment,,,https://www.elite-budapest-jobs.com,contact@elitebudapestjo.com,+36 145782615,39 Budapest Center,,,Budapest,,,Hungary,,,,,,,,,True,True,,,
,employment_businesses_20251106_120745,,Legal Recruitment Budapest,,Executive search firm providing high-level recruitment solutions for multinational companies.,Employment,,,https://www.legal-recruitment-bu.com,contact@legalrecruitmen.com,+36 876126615,275 Main Street,,,Budapest,,,Hungary,,,,,,,,,True,True,,,
,employment_businesses_20251106_120745,,Staffing Excellence Hungary,,Executive search firm providing high-level recruitment solutions for multinational companies.,Employment,,,https://www.staffing-excellence-.com,contact@staffingexcelle.com,+36 441246350,49 Talent Road,,,Budapest,,,Hungary,,,,,,,,,True,True,,,
,employment_businesses_20251106_120745,,Temporary Staff Budapest,,International employment services focusing on cross-border career opportunities within the EU.,Employment,,,https://www.temporary-staff-buda.com,contact@temporarystaffb.com,+36 852244116,25 Professional Street,,,Budapest,,,Hungary,,,,,,,,,True,True,,,
,employment_businesses_20251106_120745,,Workforce Solutions Budapest,,Specialized recruitment consultancy for IT professionals and technology companies.,Employment,,,https://www.workforce-solutions-.com,contact@workforcesoluti.com,+36 879895752,895 Jobs Road,,,Budapest,,,Hungary,,,,,,,,,True,False,,,
,employment_businesses_20251106_120745,,Bulgaria Recruitment Partners,,Employment agency dedicated to healthcare staffing and medical professional placements.,Employment,,,https://www.bulgaria-recruitment.com,contact@bulgariarecruit.com,+359 617560759,291 Burgas Square,,,Burgas,,,Bulgaria,,,,,,,,,True,True,,,
,employment_businesses_20251106_120745,,Bulgaria Recruitment Partners,,"Professional recruitment consultancy for sales, marketing, and business development roles.",Employment,,,https://www.bulgaria-recruitment.com,contact@bulgariarecruit.com,+359 852416072,416 Burgas Park,,,Burgas,,,Bulgaria,,,,,,,,,True,True,,,
,employment_businesses_20251106_120745,,Burgas Career Center,,Specialized recruitment consultancy for IT professionals and technology companies.,Employment,,,https://www.burgas-career-center.com,contact@burgascareercen.com,+359 555599138,642 Employment Street,,,Burgas,,,Bulgaria,,,,,,,,,True,True,,,
,employment_businesses_20251106_120745,,Cross-Border Jobs Burgas,,Specialized staffing agency for construction and skilled trades professionals.,Employment,,,https://www.cross-border-jobs-bu.com,contact@crossborderjobs.com,+359 409619690,440 Staffing Road,,,Burgas,,,Bulgaria,,,,,,,,,True,False,,,
,employment_businesses_20251106_120745,,Legal Recruitment Burgas,,Professional employment agency specializing in permanent and temporary placements across multiple industries.,Employment,,,https://www.legal-recruitment-bu.com,contact@legalrecruitmen.com,+359 775237501,116 Talent Road,,,Burgas,,,Bulgaria,,,,,,,,,True,True,,,
,employment_businesses_20251106_120745,,European Careers Celje,,Premier recruitment firm specializing in executive and management level positions.,Employment,,,https://www.european-careers-cel.com,contact@europeancareers.com,+386 746989679,623 Corporate Avenue,,,Celje,,,Slovenia,,,,,,,,,True,True,,,
,employment_businesses_20251106_120745,,Interim Staffing Celje,,"Professional recruitment consultancy for sales, marketing, and business development roles.",Employment,,,https://www.interim-staffing-cel.com,contact@interimstaffing.com,+386 840329748,20 Employment Street,,,Celje,,,Slovenia,,,,,,,,,True,True,,,
,employment_businesses_20251106_120745,,Medical Staff Slovenia,,Executive search firm providing high-level recruitment solutions for multinational companies.,Employment,,,https://www.medical-staff-sloven.com,contact@medicalstaffslo.com,+386 830799716,813 Celje Plaza,,,Celje,,,Slovenia,,,,,,,,,True,True,,,
,employment_businesses_20251106_120745,,Recruit Pro Celje,,Professional employment agency specializing in permanent and temporary placements across multiple industries.,Employment,,,https://www.recruit-pro-celje.com,contact@recruitprocelje.com,+386 117245644,953 Central Avenue,,,Celje,,,Slovenia,,,,,,,,,True,False,,,
,employment_businesses_20251106_120745,,Charleroi Career Center,,Specialized recruitment consultancy for IT professionals and technology companies.,Employment,,,https://www.charleroi-career-cen.com,contact@charleroicareer.com,+32 207336120,340 Central Avenue,,,Charleroi,,,Belgium,,,,,,,,,True,True,,,
,employment_businesses_20251106_120745,,Charleroi Headhunters,,Executive recruitment firm serving multinational corporations and SMEs.,Employment,,,https://www.charleroi-headhunter.com,contact@charleroiheadhu.com,+32 682362390,621 Talent Road,,,Charleroi,,,Belgium,,,,,,,,,True,False,,,
,employment_businesses_20251106_120745,,Engineering Jobs Charleroi,,Full-service employment agency providing workforce solutions for businesses of all sizes.,Employment,,,https://www.engineering-jobs-cha.com,contact@engineeringjobs.com,+32 504171602,492 Staffing Road,,,Charleroi,,,Belgium,,,,,,,,,True,True,,,
,employment_businesses_20251106_120745,,EuroJobs Charleroi,,Comprehensive employment services including career counseling and job placement.,Employment,,,https://www.eurojobs-charleroi.com,contact@eurojobscharler.com,+32 433285521,263 Staffing Road,,,Charleroi,,,Belgium,,,,,,,,,True,False,,,
,employment_businesses_20251106_120745,,Healthcare Staffing Belgium,,Full-service employment agency providing workforce solutions for businesses of all sizes.,Employment,,,https://www.healthcare-staffing-.com,contact@healthcarestaff.com,+32 977031489,941 Professional Street,,,Charleroi,,,Belgium,,,,,,,,,True,False,,,
,employment_businesses_20251106_120745,,EU Work Solutions,,Employment agency dedicated to healthcare staffing and medical professional placements.,Employment,,,https://www.eu-work-solutions.com,contact@euworksolutions.com,+40 465862041,436 Cluj-Napoca Square,,,Cluj-Napoca,,,Romania,,,,,,,,,True,True,,,
,employment_businesses_20251106_120745,,Elite Cluj-Napoca Jobs,,Specialized recruitment consultancy for IT professionals and technology companies.,Employment,,,https://www.elite-cluj-napoca-jo.com,contact@eliteclujnapoca.com,+40 204713835,552 Cluj-Napoca Plaza,,,Cluj-Napoca,,,Romania,,,,,,,,,True,False,,,
,employment_businesses_20251106_120745,,Human Capital Cluj-Napoca,,Specialized recruitment consultancy for IT professionals and technology companies.,Employment,,,https://www.human-capital-cluj-n.com,contact@humancapitalclu.com,+40 538493546,491 Business Street,,,Cluj-Napoca,,,Romania,,,,,,,,,True,True,,,
,employment_businesses_20251106_120745,,Legal Recruitment Cluj-Napoca,,Leading recruitment consultancy connecting talented professionals with top employers in the region.,Employment,,,https://www.legal-recruitment-cl.com,contact@legalrecruitmen.com,+40 872036531,233 Executive Avenue,,,Cluj-Napoca,,,Romania,,,,,,,,,True,True,,,
,employment_businesses_20251106_120745,,Workforce Solutions Cluj-Napoca,,International recruitment agency for hospitality and tourism industry professionals.,Employment,,,https://www.workforce-solutions-.com,contact@workforcesoluti.com,+40 115443869,857 Jobs Road,,,Cluj-Napoca,,,Romania,,,,,,,,,True,False,,,
,employment_businesses_20251106_120745,,Engineering Jobs Cologne,,Comprehensive employment services including career counseling and job placement.,Employment,,,https://www.engineering-jobs-col.com,contact@engineeringjobs.com,+49 404563459,496 Central Avenue,,,Cologne,,,Germany,,,,,,,,,True,True,,,
,employment_businesses_20251106_120745,,Germany HR Services,,Employment agency specializing in legal profession recruitment and placement services.,Employment,,,https://www.germany-hr-services.com,contact@germanyhrservic.com,+49 565560599,812 Executive Avenue,,,Cologne,,,Germany,,,,,,,,,True,True,,,
,employment_businesses_20251106_120745,,Healthcare Staffing Germany,,Executive search firm providing high-level recruitment solutions for multinational companies.,Employment,,,https://www.healthcare-staffing-.com,contact@healthcarestaff.com,+49 795213540,365 Central Avenue,,,Cologne,,,Germany,,,,,,,,,True,True,,,
,employment_businesses_20251106_120745,,International Placement Germany,,Professional staffing company focusing on engineering and technical recruitment.,Employment,,,https://www.international-placem.com,contact@internationalpl.com,+49 152796636,288 Recruitment Road,,,Cologne,,,Germany,,,,,,,,,True,True,,,
,employment_businesses_20251106_120745,,International Staff Cologne,,International employment services focusing on cross-border career opportunities within the EU.,Employment,,,https://www.international-staff-.com,contact@internationalst.com,+49 121630949,992 Professional Street,,,Cologne,,,Germany,,,,,,,,,True,True,,,
,employment_businesses_20251106_120745,,Professional Placement Cologne,,Professional employment agency specializing in permanent and temporary placements across multiple industries.,Employment,,,https://www.professional-placeme.com,contact@professionalpla.com,+49 144688217,675 Executive Avenue,,,Cologne,,,Germany,,,,,,,,,True,False,,,
,employment_businesses_20251106_120745,,Staffing Excellence Germany,,Temporary staffing solutions provider for industrial and manufacturing sectors.,Employment,,,https://www.staffing-excellence-.com,contact@staffingexcelle.com,+49 155338120,343 Executive Avenue,,,Cologne,,,Germany,,,,,,,,,True,True,,,
,employment_businesses_20251106_120745,,Constanta Sales Careers,,Executive search firm providing high-level recruitment solutions for multinational companies.,Employment,,,https://www.constanta-sales-care.com,contact@constantasalesc.com,+40 862029950,428 Central Avenue,,,Constanta,,,Romania,,,,,,,,,True,True,,,
,employment_businesses_20251106_120745,,Elite Constanta Jobs,,"Professional recruitment consultancy for sales, marketing, and business development roles.",Employment,,,https://www.elite-constanta-jobs.com,contact@eliteconstantaj.com,+40 624771041,954 Main Street,,,Constanta,,,Romania,,,,,,,,,True,True,,,
,employment_businesses_20251106_120745,,Flexible Work Romania,,Employment agency specializing in legal profession recruitment and placement services.,Employment,,,https://www.flexible-work-romani.com,contact@flexibleworkrom.com,+40 906651692,423 Constanta Square,,,Constanta,,,Romania,,,,,,,,,True,True,,,
,employment_businesses_20251106_120745,,Human Capital Constanta,,International staffing company providing workforce solutions across European markets.,Employment,,,https://www.human-capital-consta.com,contact@humancapitalcon.com,+40 815604976,264 Corporate Avenue,,,Constanta,,,Romania,,,,,,,,,True,True,,,
,employment_businesses_20251106_120745,,EuroJobs Copenhagen,,International recruitment agency for hospitality and tourism industry professionals.,Employment,,,https://www.eurojobs-copenhagen.com,contact@eurojobscopenha.com,+45 441401163,221 Corporate Avenue,,,Copenhagen,,,Denmark,,,,,,,,,True,True,,,
,employment_businesses_20251106_120745,,JobConnect Denmark,,"Professional recruitment consultancy for sales, marketing, and business development roles.",Employment,,,https://www.jobconnect-denmark.com,contact@jobconnectdenma.com,+45 935018771,5 Executive Avenue,,,Copenhagen,,,Denmark,,,,,,,,,True,True,,,
,employment_businesses_20251106_120745,,Legal Recruitment Copenhagen,,Professional staffing company focusing on engineering and technical recruitment.,Employment,,,https://www.legal-recruitment-co.com,contact@legalrecruitmen.com,+45 757224129,245 Commercial Street,,,Copenhagen,,,Denmark,,,,,,,,,True,True,,,
,employment_businesses_20251106_120745,,Staffing Excellence Denmark,,Specialized staffing agency for construction and skilled trades professionals.,Employment,,,https://www.staffing-excellence-.com,contact@staffingexcelle.com,+45 781650586,272 Business Street,,,Copenhagen,,,Denmark,,,,,,,,,True,True,,,
,employment_businesses_20251106_120745,,WorldWork Copenhagen,,Comprehensive employment services including career counseling and job placement.,Employment,,,https://www.worldwork-copenhagen.com,contact@worldworkcopenh.com,+45 238360929,973 Copenhagen Square,,,Copenhagen,,,Denmark,,,,,,,,,True,True,,,
,employment_businesses_20251106_120745,,Construction Jobs Ireland,,"Employment consultancy specializing in finance, banking, and accounting careers.",Employment,,,https://www.construction-jobs-ir.com,contact@constructionjob.com,+353 584239054,101 Jobs Road,,,Cork,,,Ireland,,,,,,,,,True,True,,,
,employment_businesses_20251106_120745,,Cork Temp Solutions,,Temporary staffing solutions provider for industrial and manufacturing sectors.,Employment,,,https://www.cork-temp-solutions.com,contact@corktempsolutio.com,+353 652719292,806 Central Avenue,,,Cork,,,Ireland,,,,,,,,,True,False,,,
,employment_businesses_20251106_120745,,Cork Temp Solutions,,Premier recruitment firm specializing in executive and management level positions.,Employment,,,https://www.cork-temp-solutions.com,contact@corktempsolutio.com,+353 940190237,774 Staffing Road,,,Cork,,,Ireland,,,,,,,,,True,False,,,
,employment_businesses_20251106_120745,,Ireland Recruitment Partners,,Employment agency dedicated to healthcare staffing and medical professional placements.,Employment,,,https://www.ireland-recruitment-.com,contact@irelandrecruitm.com,+353 722896233,632 Recruitment Road,,,Cork,,,Ireland,,,,,,,,,True,True,,,
